case_id,question,uav_id,task_count,distance_km,service_h,wait_h,detour_km,work_h
Case1,Q1,1,7,445.50059915246794,0.5833333333333333,0.0,0.0,8.683344227014569
Case1,Q1,2,13,413.4864426584926,1.0833333333333333,0.0,0.0,8.601268654396835
Case1,Q1,3,13,413.9477356550898,1.0833333333333333,0.0,0.0,8.609655799789511
Case1,Q1,4,27,343.49991964422134,2.25,0.0,0.0,8.495453084440388
Case1,Q1,5,12,424.20801890114427,1.0,0.0,0.0,8.712873070929895
Case1,Q2,1,8,432.1700763709525,0.6666666666666666,0.0,0.0,8.524304418865803
Case1,Q2,2,13,413.4864426584926,1.0833333333333333,0.0,0.0,8.601268654396835
Case1,Q2,3,13,413.9477356550898,1.0833333333333333,0.0,0.0,8.609655799789511
Case1,Q2,4,27,345.7250217329363,2.25,0.0,0.0,8.535909486053388
Case1,Q2,5,11,423.3495216128174,0.9166666666666666,0.0,0.0,8.61393069599062
Case1,Q3,1,9,434.27563362102484,0.75,0.0,0.0,8.645920611291363
Case1,Q3,2,10,434.8686331209064,0.8333333333333333,0.0,0.0,8.74003575371345
Case1,Q3,3,14,414.3816922942303,1.1666666666666665,0.0,0.0,8.70087925383449
Case1,Q3,4,28,348.3260048564123,2.333333333333333,0.0,0.0,8.666533421631735
Case1,Q3,5,11,423.3495216128174,0.9166666666666666,0.0,0.0,8.613930695990618
Case2,Q1,1,67,128.52497464345984,5.583333333333333,0.0,0.0,7.920151054123512
Case2,Q1,2,72,107.70840236739535,6.0,0.0,0.0,7.958334588498097
Case2,Q2,1,68,117.24641512377816,5.666666666666666,0.0,0.0,7.7984196689171785
Case2,Q2,2,71,103.64248419880848,5.916666666666666,0.0,0.0,7.801075470281366
Case2,Q3,1,45,152.7492965004335,3.75,0.6335476117824346,0.0,7.160807548153949
Case2,Q3,2,43,147.0886586490276,3.583333333333333,0.8693171277267022,0.0,7.1269897092241665
Case2,Q3,3,51,158.29117658252144,4.25,0.0,1.7809714805139265e-06,7.128021392409475
Case3,Q1,1,25,358.69112705898755,2.083333333333333,0.0,0.0,8.604990188951287
Case3,Q1,2,27,347.81385573466684,2.25,0.0,0.0,8.573888286084852
Case3,Q1,3,20,382.0202679676319,1.6666666666666665,0.0,0.0,8.61248972062361
Case3,Q1,4,30,332.9569643984477,2.5,0.0,0.0,8.553762989062687
Case3,Q1,5,21,376.6375396220142,1.75,0.0,0.0,8.597955265854804
Case3,Q1,6,17,391.3754679769195,1.4166666666666665,0.0,0.0,8.53258426624702
Case3,Q2,1,25,353.6903316768788,2.083333333333333,0.0,0.0,8.514066636549313
Case3,Q2,2,26,348.3526383835889,2.1666666666666665,0.0,0.0,8.500351000913737
Case3,Q2,3,21,375.7381653086142,1.75,0.0,0.0,8.581603005611168
Case3,Q2,4,30,332.9569643984477,2.5,0.0,0.0,8.553762989062687
Case3,Q2,5,21,376.6375396220142,1.75,0.0,0.0,8.597955265854804
Case3,Q2,6,17,393.04538435961825,1.4166666666666665,0.0,0.0,8.56294638229609
Case3,Q3,1,17,358.60485626733066,1.4166666666666665,0.0,0.0,7.936754962436313
Case3,Q3,2,16,364.89330157894136,1.3333333333333333,0.0,0.0,7.967756998404992
Case3,Q3,3,11,381.67456856209736,0.9166666666666666,0.0,0.0,7.8562042768866185
Case3,Q3,4,19,345.4353257629905,1.5833333333333333,0.0,0.0,7.863975619933161
Case3,Q3,5,10,389.9341059406563,0.8333333333333333,0.0,0.454442726046409,7.923044350436173
Case3,Q3,6,15,370.2145053640897,1.25,0.0,0.0,7.981172824801629
Case3,Q3,7,14,372.2282109741566,1.1666666666666665,0.0,0.0,7.934452320742238
Case3,Q3,8,19,346.59638886245995,1.5833333333333333,0.0,0.0,7.885085858105333
Case3,Q3,9,19,339.6776974515245,1.5833333333333333,0.0,0.0,7.759291468815596
Case4,Q1,1,35,282.34515934524796,2.9166666666666665,0.0,0.0,8.050215018398447
Case4,Q1,2,36,279.0367973358535,3.0,0.0,0.0,8.073396315197336
Case4,Q1,3,34,291.74689375316245,2.833333333333333,0.0,0.0,8.137822310663559
Case4,Q1,4,39,248.60021080061492,3.25,0.0,0.0,7.770003832738453
Case4,Q1,5,38,269.9263442100048,3.1666666666666665,0.0,0.0,8.074418379575844
Case4,Q2,1,35,283.9133402642644,2.9166666666666665,0.0,0.0,8.078727398744201
Case4,Q2,2,36,279.0367973358535,3.0,0.0,0.0,8.073396315197336
Case4,Q2,3,34,291.74689375316245,2.833333333333333,0.0,0.0,8.137822310663559
Case4,Q2,4,39,268.3919682222748,3.25,0.0,0.0,8.129853967677724
Case4,Q2,5,38,269.9263442100048,3.1666666666666665,0.0,0.0,8.074418379575844
Case4,Q3,1,21,362.07085896502423,1.75,0.0,0.0,8.333106526636803
Case4,Q3,2,20,365.4313934382611,1.6666666666666665,0.0,0.0,8.310873820089597
Case4,Q3,3,27,333.91134257983816,2.25,0.0,0.0,8.321115319633414
Case4,Q3,4,27,337.15920262880616,2.25,0.0,0.0,8.380167320523745
Case4,Q3,5,30,321.6644227671939,2.5,0.0,0.0,8.348444050312613
Case4,Q3,6,28,331.6990201330138,2.333333333333333,0.0,0.0,8.364224608479036
Case4,Q3,7,29,324.2224966726258,2.4166666666666665,0.0,0.0,8.311621151623497
