case_id,question,fleet_count,Tmax_h,delta_h,distance_per_task_km,total_wait_h,total_detour_km,normalized_fleet_count,normalized_Tmax_h,normalized_delta_h,normalized_distance_per_task_km,normalized_total_wait_h,normalized_total_detour_km
Case1,Q1,5.0,8.712873070929895,0.21741998648950656,28.342259944602997,0.0,0.0,0.42857142857142855,0.9828000268182069,0.5881329032527541,0.992498511998603,0.0,0.0
Case1,Q2,5.0,8.61393069599062,0.08962627712481641,28.17609441708734,0.0,0.0,0.42857142857142855,0.9201476662594482,0.23816912664709392,0.9863340358577958,0.0,0.0
Case1,Q3,5.0,8.74003575371345,0.12610505772283176,28.544465076463766,0.0,0.0,0.42857142857142855,1.0,0.33806646813218344,1.0,0.0,0.0
Case2,Q1,2.0,7.958334588498097,0.03818353437458555,1.6995206979198214,0.0,0.0,0.0,0.5050106359147722,0.09729289243083784,0.004095364441697971,0.0,0.0
Case2,Q2,2.0,7.801075470281366,0.0026558013641873046,1.5891287721049399,0.0,0.0,0.0,0.4054309059788974,0.0,0.0,0.0,0.0
Case2,Q3,3.0,7.160807548153949,0.03381783892978252,3.2958930340430395,1.5028647395091368,1.7809714805139265e-06,0.14285714285714285,0.0,0.0853374114218834,0.06331823289706486,1.0,3.9190229668942895e-06
Case3,Q1,6.0,8.61248972062361,0.0799054543765898,15.639251591133341,0.0,0.0,0.5714285714285714,0.9192352108195464,0.21154860003748313,0.5212371554331681,0.0,0.0
Case3,Q2,6.0,8.597955265854804,0.09760426494106689,15.574435883922586,0.0,0.0,0.5714285714285714,0.9100316931027023,0.2600168902010987,0.5188325960361378,0.0,0.0
Case3,Q3,9.0,7.981172824801629,0.22188135598603242,23.35184971974462,0.0,0.454442726046409,1.0,0.5194722800413982,0.6003503881790418,0.807362249237474,0.0,1.0
Case4,Q1,5.0,8.137822310663559,0.36781847792510547,7.536568161785075,0.0,0.0,0.42857142857142855,0.6186659781468795,1.0,0.2206405189134443,0.0,0.0
Case4,Q2,5.0,8.137822310663559,0.06442599546622318,7.653930460360219,0.0,0.0,0.42857142857142855,0.6186659781468795,0.16915801659628563,0.2249944730711658,0.0,0.0
Case4,Q3,7.0,8.380167320523745,0.0692935004341475,13.055817237278918,0.0,0.0,0.7142857142857143,0.7721238564997589,0.18248770574679304,0.42539585986615014,0.0,0.0
